PopulationLong,Population,Stratum,Cluster
Alsea River,Alsea,MidCoast,Group5
Beaver Creek,Beaver,MidCoast,Group2
Coos Bay,Coos,MidSouth,Group2
Coquille River,Coquille,MidSouth,Group5
Floras Creek,Floras,MidSouth,Group3
Lower Umpqua River,Lower.Umpqua,Umpqua,Group2
Middle Umpqua,Middle.Umpqua,Umpqua,Group4
Necanicum River,Necanicum,NorthCoast,Group2
Nehalem River,Nehalem,NorthCoast,Group2
Nestucca River,Nestucca,NorthCoast,Group1
North Umpqua,North.Umpqua,Umpqua,Group4
Salmon River,Salmon,MidCoast,Group5
Siletz River,Siletz,MidCoast,Group5
Siltcoos River (Lake),Siltcoos,Lakes,Group2
Siuslaw River,Siuslaw,MidCoast,Group1
Sixes River,Sixes,MidSouth,NoGroup
South Umpqua,South.Umpqua,Umpqua,Group5
Tahkenitch Lake,Tahkenitch,Lakes,Group3
Tenmile Lake,Tenmile,Lakes,NoGroup
Tillamook Bay,Tillamook,NorthCoast,Group4
Yaquina River,Yaquina,MidCoast,Group1
