Population,Sharpes_ratio,Change_Sharpes,CV
Necanicum,14.254,-0.083,1.038625825
Nehalem,14.281,-0.11,0.849218865
Tillamook,14.408,-0.237,1.169236392
Nestucca,14.277,-0.106,1.269542001
Salmon,14.257,-0.086,1.605198577
Siletz,14.566,-0.395,1.277711873
Yaquina,14.288,-0.117,1.125306735
Beaver,14.196,-0.025,0.857149894
Alsea,14.549,-0.378,1.016714464
Siuslaw,14.463,-0.292,0.924036022
Siltcoos,13.962,0.209,0.448744197
Tahkenitch,14.021,0.15,0.637480211
North.Umpqua,14.16,0.011,0.721361407
South.Umpqua,14.091,0.08,1.042288324
Middle.Umpqua,14.206,-0.035,0.79546263
Lower.Umpqua,13.925,0.246,0.789849371
Tenmile,13.703,0.468,0.551601361
Coos,13.926,0.245,0.780184886
Coquille,13.729,0.442,0.869106035
Floras,14.128,0.043,1.094867345
Sixes,14.205,-0.034,0.769153906
