Include,Reason,Attribute,HighCritHab_m,TotalLength_m,HighCritHab_p,MeanElev_m,MaxElev_m,MeanCanopy_p,MeanAnnualPrecip_mm,MeanBFI,MeanAugtemps_c,CVAugtemps,Threshold18_p,LowGradient_m,HighIP_m,NOSAEJ_CV,Watershed_sqkm,Sedimentary_p,HighIP_p,Estuary_sqkm,MeanHFI,Public_sqkm,Public_p,LogDriveLength_m,Latitude,Develop_p,Agric_p,SplashCount,lake_sqkm,lake_p
N,HighIP_m,HighCritHab_m,1,0.927178937,0.193667339,0.624187784,0.660598738,0.344603672,-0.42782871,-0.148244599,0.227568463,0.690507736,-0.457021396,0.501463653,0.924578155,0.029908998,0.803641772,0.033810172,0.03250978,0.668618204,-0.433030275,0.840052726,-0.217165333,0.878703994,-0.024707433,-0.05331604,0.586397688,0.766078343,-0.055989583,-0.225260417
N,HighIP_m,TotalLength_m,0.927178937,1,-0.06623824,0.732467532,0.787012987,0.336363636,-0.464935065,-0.21038961,0.349350649,0.761038961,-0.607246989,0.350113692,0.950649351,0.115584416,0.916883117,-0.128571429,-0.031168831,0.7151673,-0.585714286,0.938961039,-0.183116883,0.82829774,-0.151948052,-0.187012987,0.735131971,0.733496802,-0.252275896,-0.444733796
N,,HighCritHab_p,0.193667339,-0.06623824,1,-0.298072078,-0.298072078,-0.328541668,-0.022521001,0.034443885,-0.140425068,-0.231833839,0.236167556,0.302807085,-0.039742944,-0.370934142,-0.238457663,0.249055781,0.200039484,-0.047707024,0.378882731,-0.235808133,-0.215936661,-0.02546153,0.007948589,-0.03046959,-0.135920846,0.004295984,0.53059545,0.57834904
N,HighIP_m,MeanElev_m,0.624187784,0.732467532,-0.298072078,1,0.872727273,0.501298701,-0.179220779,0.223376623,0.097402597,0.892207792,-0.461719388,-0.077297828,0.633766234,0.215584416,0.78961039,-0.483116883,-0.420779221,0.593699284,-0.592207792,0.7,-0.419480519,0.574750612,0.08961039,-0.083116883,0.629834553,0.408512095,-0.54486392,-0.642393261
N,HighIP_m,MaxElev_m,0.660598738,0.787012987,-0.298072078,0.872727273,1,0.319480519,-0.293506494,-0.012987013,0.241558442,0.901298701,-0.537129145,0.105878538,0.677922078,0.271428571,0.871428571,-0.466233766,-0.428571429,0.749594064,-0.572727273,0.835064935,-0.261038961,0.644377544,-0.094805195,-0.106493506,0.750731589,0.522923558,-0.530559616,-0.678804215
Y,,MeanCanopy_p,0.344603672,0.336363636,-0.328541668,0.501298701,0.319480519,1,0.415584416,0.302597403,-0.414285714,0.451948052,0.112453146,0.299447888,0.318181818,0.325974026,0.280519481,-0.161038961,-0.322077922,0.17278338,-0.288311688,0.281818182,-0.105194805,0.544535152,0.557142857,0.467532468,0.048748804,0.323580886,-0.317295457,-0.364109541
N,latitude,MeanAnnualPrecip_mm,-0.42782871,-0.464935065,-0.022521001,-0.179220779,-0.293506494,0.415584416,1,0.551948052,-0.814285714,-0.177922078,0.676041855,0.025982463,-0.532467532,0.453246753,-0.553246753,-0.341558442,-0.37012987,-0.441701875,0.361038961,-0.54025974,0.07012987,-0.313978049,0.677922078,0.648051948,-0.399090212,-0.437290438,-0.098829732,-0.023407042
N,latitude,MeanBFI,-0.148244599,-0.21038961,0.034443885,0.223376623,-0.012987013,0.302597403,0.551948052,1,-0.667532468,0.094805195,0.425998977,-0.226696991,-0.207792208,0.235064935,-0.15974026,-0.484415584,-0.277922078,-0.272815864,0.211688312,-0.303896104,-0.498701299,-0.074224936,0.742857143,0.367532468,-0.230094357,-0.32709044,-0.045513693,-0.009102739
N,latitude,MeanAugtemps_c,0.227568463,0.349350649,-0.140425068,0.097402597,0.241558442,-0.414285714,-0.814285714,-0.667532468,1,0.075324675,-0.858612846,-0.106528099,0.348051948,-0.428571429,0.477922078,0.294805195,0.203896104,0.526794442,-0.479220779,0.475324675,0.149350649,0.160273314,-0.871428571,-0.71038961,0.527787056,0.324984708,-0.078023473,-0.170351249
N,HighIP_m,CVAugtemps,0.690507736,0.761038961,-0.231833839,0.892207792,0.901298701,0.451948052,-0.177922078,0.094805195,0.075324675,1,-0.410123239,0.007794739,0.683116883,0.255844156,0.777922078,-0.458441558,-0.316883117,0.574212437,-0.435064935,0.78961039,-0.135064935,0.626642382,0.112987013,-0.011688312,0.577835829,0.551701901,-0.482445141,-0.582575265
N,latitude,Threshold18_p,-0.457021396,-0.607246989,0.236167556,-0.461719388,-0.537129145,0.112453146,0.676041855,0.425998977,-0.858612846,-0.410123239,1,0.068155509,-0.545067014,0.193154816,-0.735575874,-0.022490629,-0.025136586,-0.692804056,0.713085245,-0.707793332,0.013229782,-0.398805427,0.699855463,0.594017207,-0.72371284,-0.455475244,0.181483859,0.335149024
Y,,LowGradient_m,0.501463653,0.350113692,0.302807085,-0.077297828,0.105878538,0.299447888,0.025982463,-0.226696991,-0.106528099,0.007794739,0.068155509,1,0.366352731,0.022085094,0.202013651,0.400779495,-0.089639498,0.434372969,-0.063007473,0.29165315,-0.01623904,0.616332797,0.118220208,0.399480372,0.031859565,0.519582727,0.202276519,0.08780492
