"","HighCritHab_m","TotalLength_m","HighCritHab_p","MeanElev_m","MaxElev_m","MeanCanopy_p","MeanAnnualPrecip_mm","MeanBFI","MeanAugtemps_c","CVAugtemps","Threshold18_p","LowGradient_m","HighIP_m","NOSAEJ_CV","Watershed_sqkm","Sedimentary_p","HighIP_p","Estuary_sqkm","MeanHFI","Public_sqkm","Public_p","LogDriveLength_m","Latitude","Develop_p","Agric_p","SplashCount","lake_sqkm","lake_p"
"HighCritHab_m",1,0.927178937382859,0.193667339239967,0.624187783932359,0.66059873799508,0.344603672379323,-0.427828710236971,-0.148244598683935,0.227568462892006,0.690507735975172,-0.457021395852367,0.501463653284365,0.924578154949807,0.0299089979800922,0.803641771812912,0.0338101716296695,0.0325097804131437,0.668618204379154,-0.433030275103074,0.840052725875633,-0.2171653331598,0.878703993816243,-0.0247074331139892,-0.0533160398775557,0.586397688060942,0.766078342887049,-0.0559895833333333,-0.225260416666667
"TotalLength_m",0.927178937382859,1,-0.0662382396165869,0.732467532467532,0.787012987012987,0.336363636363636,-0.464935064935065,-0.21038961038961,0.349350649350649,0.761038961038961,-0.607246989354778,0.350113691735985,0.950649350649351,0.115584415584416,0.916883116883117,-0.128571428571429,-0.0311688311688312,0.71516729981692,-0.585714285714286,0.938961038961039,-0.183116883116883,0.828297739611739,-0.151948051948052,-0.187012987012987,0.735131971109485,0.733496802359893,-0.252275896005995,-0.444733796051806
"HighCritHab_p",0.193667339239967,-0.0662382396165869,1,-0.298072078274641,-0.298072078274641,-0.328541668498271,-0.0225210014696396,0.0344438846006252,-0.140425067987164,-0.231833838658054,0.236167556487717,0.302807085001686,-0.0397429437699522,-0.370934141852887,-0.238457662619713,0.249055780958367,0.200039483642093,-0.0477070243328696,0.378882730606877,-0.235808133035049,-0.215936661150073,-0.0254615295200188,0.00794858875399043,-0.03046959022363,-0.13592084618734,0.00429598432002953,0.530595449972511,0.578349040470037
"MeanElev_m",0.624187783932359,0.732467532467532,-0.298072078274641,1,0.872727272727273,0.501298701298701,-0.179220779220779,0.223376623376623,0.0974025974025974,0.892207792207792,-0.461719388420082,-0.0772978280456072,0.633766233766234,0.215584415584416,0.78961038961039,-0.483116883116883,-0.420779220779221,0.59369928431668,-0.592207792207792,0.7,-0.419480519480519,0.574750612339629,0.0896103896103896,-0.0831168831168831,0.629834553496986,0.408512094711443,-0.544863919724288,-0.64239326096372
"MaxElev_m",0.66059873799508,0.787012987012987,-0.298072078274641,0.872727272727273,1,0.319480519480519,-0.293506493506494,-0.012987012987013,0.241558441558442,0.901298701298701,-0.537129145268061,0.105878537575075,0.677922077922078,0.271428571428571,0.871428571428571,-0.466233766233766,-0.428571428571429,0.749594063568325,-0.572727272727273,0.835064935064935,-0.261038961038961,0.644377543663058,-0.0948051948051948,-0.106493506493506,0.750731588533559,0.522923557663273,-0.530559616342505,-0.678804215026441
"MeanCanopy_p",0.344603672379323,0.336363636363636,-0.328541668498271,0.501298701298701,0.319480519480519,1,0.415584415584416,0.302597402597403,-0.414285714285714,0.451948051948052,0.112453146176811,0.299447888479201,0.318181818181818,0.325974025974026,0.280519480519481,-0.161038961038961,-0.322077922077922,0.17278338033724,-0.288311688311688,0.281818181818182,-0.105194805194805,0.544535151576631,0.557142857142857,0.467532467532468,0.0487488044502311,0.323580886017139,-0.317295456832283,-0.36410954062721
"MeanAnnualPrecip_mm",-0.427828710236971,-0.464935064935065,-0.0225210014696396,-0.179220779220779,-0.293506493506494,0.415584415584416,1,0.551948051948052,-0.814285714285714,-0.177922077922078,0.67604185525118,0.0259824632086075,-0.532467532467532,0.453246753246753,-0.553246753246753,-0.341558441558442,-0.37012987012987,-0.441701874546327,0.361038961038961,-0.54025974025974,0.0701298701298701,-0.313978048798106,0.677922077922078,0.648051948051948,-0.399090212432559,-0.437290438153314,-0.0988297324559569,-0.0234070418974635
"MeanBFI",-0.148244598683935,-0.21038961038961,0.0344438846006252,0.223376623376623,-0.012987012987013,0.302597402597403,0.551948051948052,1,-0.667532467532468,0.0948051948051948,0.425998977281566,-0.2266969914951,-0.207792207792208,0.235064935064935,-0.15974025974026,-0.484415584415584,-0.277922077922078,-0.272815863690378,0.211688311688312,-0.303896103896104,-0.498701298701299,-0.0742249362221463,0.742857142857143,0.367532467532468,-0.230094357005091,-0.327090440095416,-0.0455136925784012,-0.00910273851568024
"MeanAugtemps_c",0.227568462892006,0.349350649350649,-0.140425067987164,0.0974025974025974,0.241558441558442,-0.414285714285714,-0.814285714285714,-0.667532467532468,1,0.0753246753246753,-0.858612845514709,-0.106528099155291,0.348051948051948,-0.428571428571429,0.477922077922078,0.294805194805195,0.203896103896104,0.526794441554516,-0.479220779220779,0.475324675324675,0.149350649350649,0.160273313612422,-0.871428571428571,-0.71038961038961,0.527787056181169,0.32498470764845,-0.0780234729915449,-0.170351249364873
"CVAugtemps",0.690507735975172,0.761038961038961,-0.231833838658054,0.892207792207792,0.901298701298701,0.451948051948052,-0.177922077922078,0.0948051948051948,0.0753246753246753,1,-0.410123238997781,0.00779473896258224,0.683116883116883,0.255844155844156,0.777922077922078,-0.458441558441558,-0.316883116883117,0.574212436910225,-0.435064935064935,0.78961038961039,-0.135064935064935,0.626642381910864,0.112987012987013,-0.0116883116883117,0.577835828750073,0.551701901105144,-0.482445141331053,-0.582575265003535
"Threshold18_p",-0.457021395852367,-0.607246989354778,0.236167556487717,-0.461719388420082,-0.537129145268061,0.112453146176811,0.67604185525118,0.425998977281566,-0.858612845514709,-0.410123238997781,1,0.0681555088066359,-0.545067014409954,0.193154815786052,-0.735575873815374,-0.0224906292353622,-0.025136585615993,-0.692804055539299,0.713085244580012,-0.70779333181875,0.0132297819031542,-0.398805426709777,0.699855462676858,0.594017207451624,-0.723712839748633,-0.455475243546038,0.181483858642824,0.335149023625069
"LowGradient_m",0.501463653284365,0.350113691735985,0.302807085001686,-0.0772978280456072,0.105878537575075,0.299447888479201,0.0259824632086075,-0.2266969914951,-0.106528099155291,0.00779473896258224,0.0681555088066359,1,0.366352731241365,0.0220850937273163,0.202013651446923,0.40077949499277,-0.0896394980696957,0.434372969460689,-0.0630074732808731,0.291653149516619,-0.0162390395053797,0.616332796974672,0.118220207599164,0.39948037183234,0.031859564601734,0.519582726670032,0.202276519029102,0.0878049198357838
"HighIP_m",0.924578154949807,0.950649350649351,-0.0397429437699522,0.633766233766234,0.677922077922078,0.318181818181818,-0.532467532467532,-0.207792207792208,0.348051948051948,0.683116883116883,-0.545067014409954,0.366352731241365,1,0.0922077922077922,0.863636363636364,0.012987012987013,0.158441558441558,0.595647969057326,-0.519480519480519,0.9,-0.135064935064935,0.834866318038478,-0.0883116883116883,-0.161038961038961,0.603185207064193,0.718756675231129,-0.189857117612759,-0.351105628461952
